emp_no,first_name,last_name,dept_name,title,from_date,to_date,salary
96599,Kwee,Salverda,Quality Management,Senior Engineer,2002-08-01,9999-01-01,40000
206731,Phuoc,Ramras,Quality Management,Senior Engineer,2002-08-01,9999-01-01,47835
259430,Yechiam,Kobara,Production,Senior Engineer,2002-08-01,9999-01-01,42235
461960,Remko,Ramsay,Sales,Senior Staff,2002-08-01,9999-01-01,45705
37664,Dines,Sundgren,Quality Management,Senior Engineer,2002-07-31,9999-01-01,40000
56227,Shen,Makrucki,Sales,Senior Staff,2002-07-31,9999-01-01,52748
106648,Khue,Masamoto,Development,Senior Engineer,2002-07-31,9999-01-01,55524
263088,Xianlong,Undy,Human Resources,Senior Staff,2002-07-31,9999-01-01,41440
289182,Gio,Nicolson,Human Resources,Senior Staff,2002-07-31,9999-01-01,40000
417555,Zejun,Coors,Development,Senior Engineer,2002-07-31,9999-01-01,60173
445728,Herb,Lorin,Quality Management,Engineer,2002-07-31,9999-01-01,43208
459158,Naftali,Anger,Sales,Senior Staff,2002-07-31,9999-01-01,79635
96196,Berthier,Zambonelli,Development,Senior Engineer,2002-07-30,9999-01-01,45838
458538,Zissis,Prenel,Research,Senior Staff,2002-07-30,9999-01-01,40000
32261,Bernt,Dehkordi,Development,Senior Engineer,2002-07-29,9999-01-01,61148
45217,Marsal,Pena,Research,Senior Staff,2002-07-29,9999-01-01,40000
221086,Baziley,Motley,Development,Senior Staff,2002-07-29,9999-01-01,40000
240083,Huan,Kroon,Production,Senior Engineer,2002-07-29,9999-01-01,40726
53092,Tetsushi,England,Marketing,Senior Staff,2002-07-28,9999-01-01,81343
73758,Serenella,Sevcikova,Development,Senior Engineer,2002-07-28,9999-01-01,44201
248336,Amstein,Vitiello,Marketing,Senior Staff,2002-07-28,9999-01-01,76219
299091,Kinh,Angel,Development,Senior Engineer,2002-07-28,9999-01-01,40000
442133,Bernd,Angel,Sales,Senior Staff,2002-07-28,9999-01-01,85908
13210,Jianhua,Klassen,Marketing,Senior Staff,2002-07-27,9999-01-01,83961
60488,Yakkov,Staylopatis,Development,Senior Engineer,2002-07-27,9999-01-01,55530
98445,Spyrose,Constantine,Production,Senior Engineer,2002-07-27,9999-01-01,65189
109167,Uli,Harllee,Customer Service,Senior Staff,2002-07-27,9999-01-01,40000
203484,Guttorm,Gyimothy,Finance,Senior Staff,2002-07-27,9999-01-01,57018
16130,Kerryn,Belinskaya,Development,Engineer,2002-07-26,9999-01-01,40000
235740,Arco,Baer,Sales,Senior Staff,2002-07-26,9999-01-01,86294
205524,Dante,Reistad,Production,Senior Engineer,2002-07-25,9999-01-01,44416
299587,Visit,Schaad,Production,Senior Engineer,2002-07-24,9999-01-01,63186
413166,Koldo,Salverda,Sales,Senior Staff,2002-07-24,9999-01-01,61714
467524,Youngkon,Pearson,Sales,Senior Staff,2002-07-24,9999-01-01,79405
474376,Jovan,Bage,Development,Senior Engineer,2002-07-24,9999-01-01,46646
474386,Collette,Ohori,Development,Engineer,2002-07-23,9999-01-01,44880
454271,Uta,Sullins,Production,Senior Engineer,2002-07-22,9999-01-01,40000
86342,Marit,Boguraev,Development,Senior Engineer,2002-07-21,9999-01-01,57263
259457,Alper,Garnier,Production,Senior Engineer,2002-07-21,9999-01-01,62540
278523,Berni,Back,Marketing,Senior Staff,2002-07-21,9999-01-01,75523
467443,Xiadong,Ramamoorthy,Production,Senior Engineer,2002-07-21,9999-01-01,40000
269157,Leaf,Asrin,Sales,Senior Staff,2002-07-20,9999-01-01,84354
456169,Kinh,Perl,Production,Senior Engineer,2002-07-20,9999-01-01,43729
86081,Valery,Iwayama,Human Resources,Senior Staff,2002-07-19,9999-01-01,53594
101845,Giordano,Pouyioutas,Research,Senior Staff,2002-07-19,9999-01-01,40000
202006,Gritta,Peac,Development,Engineer,2002-07-19,9999-01-01,49739
280247,Lorien,Desikan,Quality Management,Senior Engineer,2002-07-19,9999-01-01,40000
293048,Berhard,Simmen,Marketing,Senior Staff,2002-07-19,9999-01-01,40000
62443,Conrado,Pluym,Production,Senior Engineer,2002-07-18,9999-01-01,57970
70602,Hongzhu,Maquelin,Production,Senior Engineer,2002-07-18,9999-01-01,40000
474569,Paraskevi,Nyanchama,Sales,Senior Staff,2002-07-18,9999-01-01,92009
232134,Malu,Suwa,Production,Senior Engineer,2002-07-17,9999-01-01,48500
448254,Hironobu,Gischer,Production,Senior Engineer,2002-07-17,9999-01-01,60178
44873,Eberhardt,Raczkowsky,Sales,Senior Staff,2002-07-14,9999-01-01,47739
64796,Xiadong,Auria,Sales,Senior Staff,2002-07-14,9999-01-01,66457
67761,Jagoda,Rothe,Customer Service,Senior Staff,2002-07-14,9999-01-01,40000
435456,Chiradeep,Bazzichi,Production,Senior Engineer,2002-07-14,9999-01-01,45009
488057,Gennady,Schonegge,Production,Senior Engineer,2002-07-14,9999-01-01,40501
57715,Shaibal,Chinen,Human Resources,Senior Staff,2002-07-13,9999-01-01,40000
96138,Lidong,Ghalwash,Development,Senior Engineer,2002-07-13,9999-01-01,40000
234816,Filipe,Langford,Production,Senior Engineer,2002-07-13,9999-01-01,51399
58475,Angel,Chaudhury,Production,Senior Engineer,2002-07-11,9999-01-01,40000
205245,Angus,Raczkowsky,Development,Senior Engineer,2002-07-11,9999-01-01,54462
35333,Hideyuki,Veldwijk,Quality Management,Senior Engineer,2002-07-10,9999-01-01,43872
105264,Chrisa,Simkin,Sales,Senior Staff,2002-07-10,9999-01-01,56850
226568,Deniz,Frezza,Marketing,Senior Staff,2002-07-10,9999-01-01,52504
281118,Munir,Leaver,Marketing,Senior Staff,2002-07-10,9999-01-01,72801
292198,Geoff,Gien,Sales,Senior Staff,2002-07-10,9999-01-01,91548
12601,Ghassan,Simkin,Development,Senior Engineer,2002-07-09,9999-01-01,41714
32465,Yucel,Dymetman,Production,Senior Engineer,2002-07-09,9999-01-01,40000
35570,Baocai,Katzenelson,Development,Senior Engineer,2002-07-09,9999-01-01,55970
232276,Berna,Ruemmler,Customer Service,Senior Staff,2002-07-09,9999-01-01,40000
283185,Fabrizio,Schapire,Development,Senior Engineer,2002-07-09,9999-01-01,40000
427055,Toong,Rosis,Development,Senior Engineer,2002-07-09,9999-01-01,40000
488941,Wayne,Zeidenstein,Human Resources,Senior Staff,2002-07-09,9999-01-01,46812
56808,Yuriy,Anick,Human Resources,Senior Staff,2002-07-08,9999-01-01,40000
223543,Basil,Peres,Production,Senior Engineer,2002-07-08,9999-01-01,61263
226275,Alain,Katiyar,Quality Management,Senior Engineer,2002-07-08,9999-01-01,77454
275189,Sachar,Katzenelson,Customer Service,Engineer,2002-07-08,9999-01-01,45637
486012,Ramzi,Shanbhogue,Development,Senior Engineer,2002-07-08,9999-01-01,51735
20558,Toong,Panangaden,Human Resources,Senior Staff,2002-07-07,9999-01-01,40000
81079,Nahla,Mellouli,Research,Senior Staff,2002-07-07,9999-01-01,53145
207793,Magdalena,Passafiume,Production,Senior Engineer,2002-07-07,9999-01-01,40000
298261,Tommaso,Mateescu,Production,Senior Engineer,2002-07-07,9999-01-01,47420
415320,Mingzeng,Mullainathan,Quality Management,Senior Engineer,2002-07-07,9999-01-01,40000
106417,Kwun,Clouatre,Marketing,Senior Staff,2002-07-06,9999-01-01,40000
259583,Kiyomitsu,Swan,Research,Senior Staff,2002-07-06,9999-01-01,40000
285002,Turgut,Ranai,Production,Senior Engineer,2002-07-06,9999-01-01,42271
445910,Patricia,Fritzsche,Sales,Senior Staff,2002-07-06,9999-01-01,53423
109189,Billie,Codenie,Sales,Senior Staff,2002-07-05,9999-01-01,73531
273601,Anwar,Seiwald,Development,Senior Engineer,2002-07-05,9999-01-01,40000
401017,Shigeu,Provine,Sales,Senior Staff,2002-07-05,9999-01-01,76730
413160,Tadanori,Felcyn,Sales,Senior Staff,2002-07-05,9999-01-01,94214
416690,Ulf,Mahmud,Sales,Senior Staff,2002-07-05,9999-01-01,80568
36573,Xuedong,Lakshmanan,Production,Senior Engineer,2002-07-04,9999-01-01,40000
109809,Kazuhide,Cherinka,Production,Senior Engineer,2002-07-04,9999-01-01,41558
241880,Moty,Erev,Marketing,Senior Staff,2002-07-04,9999-01-01,66915
262216,Ennio,Auria,Sales,Senior Staff,2002-07-04,9999-01-01,76452
278531,Zeljko,Serre,Customer Service,Senior Staff,2002-07-04,9999-01-01,55662
295365,Jianhui,Bridgland,Production,Senior Engineer,2002-07-04,9999-01-01,47401
451010,Ger,Schusler,Production,Senior Engineer,2002-07-04,9999-01-01,51933
77325,Feiyu,Brickell,Sales,Senior Staff,2002-07-03,9999-01-01,70697
24596,Ayonca,Stranks,Sales,Senior Staff,2002-07-02,9999-01-01,68819
59783,Volkmar,Raczkowsky,Sales,Senior Staff,2002-07-02,9999-01-01,60047
69647,Deborah,Pileggi,Marketing,Senior Staff,2002-07-02,9999-01-01,64210
289961,Kitty,Ponthieu,Production,Senior Engineer,2002-07-02,9999-01-01,66418
492323,Houman,Stanfel,Sales,Senior Staff,2002-07-02,9999-01-01,96794
50512,Yolla,Shimshoni,Production,Senior Engineer,2002-07-01,9999-01-01,40000
462289,Kenroku,Adachi,Development,Senior Engineer,2002-07-01,9999-01-01,44191
24383,Aksel,Erev,Development,Senior Engineer,2002-06-30,9999-01-01,40000
35510,JoAnne,Merks,Production,Senior Engineer,2002-06-30,9999-01-01,40000
255499,Dannz,Engelmann,Sales,Senior Staff,2002-06-30,9999-01-01,72737
265161,Hausi,Pfau,Human Resources,Senior Staff,2002-06-30,9999-01-01,40000
285243,Lakshmi,Vieth,Marketing,Senior Staff,2002-06-30,9999-01-01,52052
15066,Tomokazu,Oaver,Development,Senior Engineer,2002-06-29,9999-01-01,43455
61465,Sumant,Huttel,Production,Senior Staff,2002-06-29,9999-01-01,44950
104610,Fusako,Peak,Sales,Senior Staff,2002-06-29,9999-01-01,61345
488121,Urs,Schneeberger,Development,Senior Engineer,2002-06-29,9999-01-01,40000
45977,Ulf,Wiegley,Human Resources,Senior Staff,2002-06-28,9999-01-01,44570
211837,Billur,Porotnikoff,Quality Management,Senior Engineer,2002-06-28,9999-01-01,40000
281699,Filipe,Penz,Research,Senior Staff,2002-06-28,9999-01-01,40000
290536,Kiam,Janetzko,Production,Senior Engineer,2002-06-28,9999-01-01,40000
458058,Marjo,Klassen,Development,Senior Engineer,2002-06-26,9999-01-01,42140
33205,Matk,Egerstedt,Production,Senior Engineer,2002-06-25,9999-01-01,67507
43996,Hiroyasu,Bodoff,Production,Senior Engineer,2002-06-25,9999-01-01,57941
280598,Takanari,Lovengreen,Human Resources,Senior Staff,2002-06-25,9999-01-01,40920
208256,Hugh,Mungall,Development,Senior Engineer,2002-06-24,9999-01-01,40000
262041,Eckart,Valette,Production,Senior Engineer,2002-06-24,9999-01-01,40000
285294,Sorina,Kitai,Production,Senior Engineer,2002-06-24,9999-01-01,56537
449604,Ottavia,Varman,Development,Senior Engineer,2002-06-24,9999-01-01,45571
490453,Eckart,Baik,Development,Senior Engineer,2002-06-24,9999-01-01,40000
105167,Lillian,Comyn,Research,Senior Staff,2002-06-23,9999-01-01,68908
239873,Mohd,Baaz,Production,Senior Engineer,2002-06-23,9999-01-01,47475
462859,Xinglin,Gire,Development,Senior Engineer,2002-06-23,9999-01-01,40000
471942,Heekeun,Hardjono,Quality Management,Senior Engineer,2002-06-23,9999-01-01,59805
30606,Chuanyi,Shrader,Production,Senior Engineer,2002-06-22,9999-01-01,50508
73868,Moon,Goodrum,Production,Senior Engineer,2002-06-22,9999-01-01,79654
221475,Wilmer,Engelmann,Development,Senior Engineer,2002-06-22,9999-01-01,43027
277869,Berto,Kakkar,Customer Service,Senior Engineer,2002-06-22,9999-01-01,55457
474194,Ult,Iisaka,Development,Senior Engineer,2002-06-22,9999-01-01,46451
65594,Dietrich,Sadowski,Quality Management,Senior Engineer,2002-06-21,9999-01-01,40000
254880,Tran,Rassart,Marketing,Senior Staff,2002-06-21,9999-01-01,77640
440788,Zita,Mawatari,Development,Senior Engineer,2002-06-21,9999-01-01,41491
494853,Yechiam,Lunt,Finance,Senior Staff,2002-06-21,9999-01-01,72948
44682,Souichi,Boissier,Sales,Senior Staff,2002-06-19,9999-01-01,82058
413905,Piyawadee,Gelosh,Production,Engineer,2002-06-19,9999-01-01,55848
22012,DeForest,Armand,Development,Senior Engineer,2002-06-18,9999-01-01,42886
87637,Qingxiang,Aamodt,Finance,Senior Staff,2002-06-18,9999-01-01,40000
209316,Jaana,Kuszyk,Production,Senior Engineer,2002-06-18,9999-01-01,40000
475810,Martial,Bellone,Research,Senior Staff,2002-06-18,9999-01-01,61994
35558,Kshitij,Staudhammer,Sales,Senior Staff,2002-06-17,9999-01-01,62866
47766,Gunilla,Simmel,Human Resources,Senior Staff,2002-06-17,9999-01-01,55261
95541,Chinho,Whitcomb,Development,Senior Engineer,2002-06-17,9999-01-01,40000
256852,Shir,Tanemo,Sales,Senior Staff,2002-06-17,9999-01-01,61271
257274,Yagil,Perfilyeva,Production,Senior Engineer,2002-06-17,9999-01-01,40000
404674,Rajmohan,Furedi,Customer Service,Senior Engineer,2002-06-17,9999-01-01,53382
445220,Florina,Luft,Sales,Senior Staff,2002-06-17,9999-01-01,58098
47293,Unal,Beidas,Production,Senior Engineer,2002-06-16,9999-01-01,40000
48371,Valery,Krupka,Sales,Senior Staff,2002-06-16,9999-01-01,60182
409685,Hausi,Brandsma,Production,Senior Engineer,2002-06-16,9999-01-01,43218
484799,Peternela,Roohalamini,Development,Senior Engineer,2002-06-16,9999-01-01,46839
486925,Saeed,Hatcliff,Development,Senior Engineer,2002-06-16,9999-01-01,44066
33216,Zdislav,Thombley,Sales,Senior Staff,2002-06-15,9999-01-01,68912
234703,Deborah,Levasseur,Development,Engineer,2002-06-14,9999-01-01,58316
242863,Debaprosad,Otillio,Customer Service,Senior Staff,2002-06-14,9999-01-01,55529
405774,Weiyi,Cmelik,Production,Senior Engineer,2002-06-14,9999-01-01,40000
19744,Aleksander,Skafidas,Development,Senior Engineer,2002-06-13,9999-01-01,59739
50590,Leucio,Calkin,Development,Senior Engineer,2002-06-13,9999-01-01,40000
85811,Dayanand,Bain,Production,Senior Engineer,2002-06-13,9999-01-01,60982
243208,Sachin,Biros,Research,Senior Staff,2002-06-13,9999-01-01,40000
427817,Vishv,Kading,Development,Senior Engineer,2002-06-13,9999-01-01,40000
92983,Masoud,Rosca,Production,Senior Engineer,2002-06-12,9999-01-01,48444
445410,Elvia,Brodie,Development,Senior Engineer,2002-06-12,9999-01-01,66788
35865,Claudi,Fujisaki,Development,Senior Engineer,2002-06-11,9999-01-01,40000
407956,Yonghong,Kawashima,Finance,Senior Staff,2002-06-10,9999-01-01,91362
452451,Duro,Matzen,Development,Engineer,2002-06-10,9999-01-01,64113
64969,Jasminko,Kawashima,Development,Senior Engineer,2002-06-09,9999-01-01,40000
401298,Narain,Plotkin,Research,Senior Staff,2002-06-09,9999-01-01,40000
450217,Petter,Gluchowski,Quality Management,Senior Engineer,2002-06-09,9999-01-01,40000
484282,Tetsushi,Anick,Human Resources,Senior Staff,2002-06-09,9999-01-01,53111
407824,Sreekrishna,Kalsbeek,Production,Senior Engineer,2002-06-08,9999-01-01,64167
482539,Bikash,Pehl,Production,Senior Engineer,2002-06-08,9999-01-01,40000
44060,Luigi,Brattka,Production,Senior Engineer,2002-06-07,9999-01-01,40000
102483,Qingxiang,Boissier,Production,Senior Engineer,2002-06-07,9999-01-01,40000
228524,Erzsebet,Androutsos,Quality Management,Senior Engineer,2002-06-07,9999-01-01,40000
451441,Sahrah,Rijckaert,Sales,Senior Staff,2002-06-07,9999-01-01,56396
39883,Moriyoshi,Luan,Development,Senior Engineer,2002-06-06,9999-01-01,40000
65568,Mark,Ventosa,Production,Senior Engineer,2002-06-06,9999-01-01,44039
108985,Masanao,Bressoud,Development,Senior Engineer,2002-06-06,9999-01-01,59458
447132,Masaru,Crelier,Customer Service,Senior Staff,2002-06-06,9999-01-01,50938
489782,Jiong,Schnabel,Development,Senior Engineer,2002-06-06,9999-01-01,60818
108179,Constantijn,Crelier,Development,Senior Engineer,2002-06-05,9999-01-01,54941
419062,Stafford,Walstra,Development,Senior Engineer,2002-06-05,9999-01-01,70299
400141,Suebskul,Rassart,Production,Senior Engineer,2002-06-04,9999-01-01,46768
29120,Parto,Bergere,Sales,Senior Staff,2002-06-03,9999-01-01,85465
84809,Hironoby,Zobel,Quality Management,Senior Engineer,2002-06-03,9999-01-01,40000
96083,Khalil,Muchinsky,Marketing,Senior Staff,2002-06-03,9999-01-01,47965
250129,Karoline,Duclos,Production,Senior Engineer,2002-06-03,9999-01-01,40000
229461,Berto,Raczkowsky,Customer Service,Senior Staff,2002-06-02,9999-01-01,77682
409153,Arie,Backhouse,Customer Service,Senior Staff,2002-06-02,9999-01-01,80090
438544,Faiza,Lukaszewicz,Production,Senior Engineer,2002-06-02,9999-01-01,40000
465904,Lorien,Schmezko,Development,Senior Engineer,2002-06-02,9999-01-01,40000
14723,Constantino,Assaf,Human Resources,Senior Staff,2002-06-01,9999-01-01,40000
18946,Gio,Warwick,Production,Senior Engineer,2002-06-01,9999-01-01,40000
27396,Brendon,Zykh,Production,Senior Engineer,2002-06-01,9999-01-01,55838
202360,Indrajit,Jeong,Sales,Senior Staff,2002-06-01,9999-01-01,48372
298276,Zito,Sgarro,Development,Senior Engineer,2002-06-01,9999-01-01,40000
437678,Val,Pocchiola,Development,Senior Engineer,2002-06-01,9999-01-01,44462
91228,Hauke,Leijenhorst,Production,Senior Engineer,2002-05-31,9999-01-01,54436
274044,Yuchang,Erni,Production,Senior Engineer,2002-05-30,9999-01-01,55056
34600,Godehard,Middleton,Sales,Senior Staff,2002-05-29,9999-01-01,67242
229649,DAIDA,Montresor,Production,Senior Engineer,2002-05-29,9999-01-01,40000
262663,Fumino,Riexinger,Sales,Senior Staff,2002-05-28,9999-01-01,42308
413791,Jiong,Zaumen,Sales,Senior Staff,2002-05-28,9999-01-01,60814
473812,Khue,Levergood,Sales,Senior Staff,2002-05-28,9999-01-01,79856
480670,Sanjoy,Penz,Sales,Senior Staff,2002-05-28,9999-01-01,92833
30948,Xinan,Lunt,Development,Senior Engineer,2002-05-27,9999-01-01,50840
261527,Arunachalam,Butner,Development,Senior Engineer,2002-05-27,9999-01-01,41800
284056,Tze,Ambroszkiewicz,Development,Senior Engineer,2002-05-27,9999-01-01,63252
498311,Rajmohan,Zeidenstein,Marketing,Senior Staff,2002-05-27,9999-01-01,46937
65663,Rafael,Leppanen,Quality Management,Senior Engineer,2002-05-26,9999-01-01,50166
93291,Kasidit,Hofstetter,Finance,Senior Staff,2002-05-26,9999-01-01,60896
266827,Udi,Gronowski,Production,Senior Engineer,2002-05-26,9999-01-01,40000
412444,Gio,Fritzsche,Development,Senior Engineer,2002-05-26,9999-01-01,53835
449520,Navid,Mansanne,Research,Senior Staff,2002-05-26,9999-01-01,40000
444553,Nikolaus,Gluchowski,Customer Service,Senior Staff,2002-05-25,9999-01-01,97585
39405,Toong,Millington,Production,Senior Engineer,2002-05-24,9999-01-01,50102
67227,Shuky,Showalter,Development,Senior Engineer,2002-05-24,9999-01-01,40000
285348,Jianhui,Bardell,Production,Senior Engineer,2002-05-24,9999-01-01,40000
109010,Shaibal,Yavatkar,Production,Senior Engineer,2002-05-23,9999-01-01,40000
412093,Avishai,Engelmann,Sales,Senior Staff,2002-05-23,9999-01-01,91917
416096,Nobuyoshi,Ginneken,Research,Senior Engineer,2002-05-23,9999-01-01,47236
64556,Xiaopeng,Fritzsche,Quality Management,Senior Engineer,2002-05-21,9999-01-01,40000
203318,Xudong,Cooley,Development,Senior Engineer,2002-05-21,9999-01-01,56536
290062,Godehard,Morrow,Development,Senior Staff,2002-05-21,9999-01-01,66211
455054,Ingemar,Lores,Finance,Senior Staff,2002-05-21,9999-01-01,63990
459483,Shmuel,Docker,Marketing,Senior Staff,2002-05-21,9999-01-01,69722
471991,Janche,Farrag,Quality Management,Senior Engineer,2002-05-21,9999-01-01,40000
481695,Bikash,Pusterhofer,Research,Senior Staff,2002-05-21,9999-01-01,40000
19120,Giri,Qiwen,Development,Engineer,2002-05-20,9999-01-01,49416
70164,Ult,Bergere,Production,Senior Engineer,2002-05-20,9999-01-01,52833
11134,Sachar,Rajcani,Quality Management,Senior Engineer,2002-05-19,9999-01-01,58731
59242,Fun,Peak,Sales,Senior Staff,2002-05-19,9999-01-01,65859
87769,Subhrajyoti,Tomescu,Production,Senior Engineer,2002-05-19,9999-01-01,76979
266333,Moss,Oppitz,Marketing,Senior Staff,2002-05-19,9999-01-01,52343
277729,Shirish,Nanard,Research,Senior Staff,2002-05-19,9999-01-01,40000
281084,Sven,Bugaenko,Production,Senior Engineer,2002-05-18,9999-01-01,41542
472720,Gal,Sudbeck,Production,Senior Engineer,2002-05-18,9999-01-01,40000
274463,Uli,Glowinski,Development,Senior Engineer,2002-05-17,9999-01-01,40000
412644,Gritta,Kropatsch,Finance,Senior Staff,2002-05-17,9999-01-01,56090
