emp_no,first_name,last_name,to_date,dept_name
10053,Sanjiv,Zschoche,9999-01-01,Sales
10088,Jungsoon,Syrzycki,1992-03-21,Sales
10149,Xiadong,Perry,1996-08-27,Sales
10215,Xiaobin,Duclos,9999-01-01,Sales
10302,Faiza,Baer,1999-11-09,Sales
10355,Satyanarayana,Cochrane,9999-01-01,Sales
10442,Volkmar,Unno,2001-03-13,Sales
10463,Ung,Zaiane,9999-01-01,Sales
10504,Xiong,Varker,9999-01-01,Sales
10541,Godehard,Eiter,1986-10-01,Sales
10548,Ramalingam,Gunderson,1991-10-04,Sales
10629,Lalit,Francisci,2001-12-07,Sales
10767,Monique,Doering,9999-01-01,Sales
10795,Supot,Naudin,9999-01-01,Sales
10836,Jianhua,Leivant,1991-07-01,Sales
10878,Lakshmi,Deville,9999-01-01,Sales
10895,Vishwani,Petersohn,1986-12-25,Sales
10924,Hironoby,Atchley,9999-01-01,Sales
10965,Eckart,Braunschweig,9999-01-01,Sales
11009,Alper,Axelband,9999-01-01,Sales
11048,Jaques,Demke,9999-01-01,Sales
11146,Ishfaq,Masand,9999-01-01,Sales
11197,Tadahiro,Fordan,9999-01-01,Sales
11338,Kwangsub,Hanratty,9999-01-01,Sales
11441,Marlo,Aingworth,9999-01-01,Sales
11506,Rance,Picel,9999-01-01,Sales
11515,Ulf,Basawa,9999-01-01,Sales
11537,DAIDA,Pehl,9999-01-01,Sales
11567,Teiji,Mitzlaff,9999-01-01,Sales
11615,Shem,Isaak,9999-01-01,Sales
11660,Gill,Stenning,9999-01-01,Sales
11696,Dante,Rothe,9999-01-01,Sales
11746,Koichi,Marrakchi,9999-01-01,Sales
11747,Aksel,Kossowski,1999-01-16,Sales
11797,Chenxi,Thambidurai,1996-09-28,Sales
11813,Gita,Muhlberg,1991-07-20,Sales
11817,Niranjan,Markovitch,9999-01-01,Sales
11838,Taiji,Nitta,1991-05-09,Sales
11857,Divier,Farrag,9999-01-01,Sales
11897,Cordelia,Setlzner,9999-01-01,Sales
12011,Zhilian,Coorg,9999-01-01,Sales
12036,Mads,Ratzlaff,9999-01-01,Sales
12076,Karlis,Siprelle,9999-01-01,Sales
12082,Xinan,Yamaashi,9999-01-01,Sales
12099,Nobuyoshi,Kuzuoka,9999-01-01,Sales
